X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1485451.44148101,511655.67460601,5445,1101271,2021,5,May,5,4,Wednesday,1818,20210505181802,30,Angle,2,19,Failed to yield right of way,0,None (no unusual conditions),35.143618,-80.721336,
1491623.104606,582736.275231004,5446,1069174,2020,5,May,7,5,Thursday,1808,20200507180801,1,Ran off road right,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.339187,-80.704777,
1483050.68898101,544179.489606008,5447,1081704,2020,12,December,3,5,Thursday,2007,20201203200700,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.232855,-80.731263,
1429603.90460601,542784.718356013,5448,973420,2019,8,August,17,7,Saturday,625,20190817062501,24,"Left turn, different roadways",1,4,Disregarded traffic signals,,,35.22633,-80.910124,
1462632.55398101,564172.071481004,5449,1057320,2020,11,November,11,4,Wednesday,1311,20201111131100,2,Ran off road left,2,31,Drug use,,,35.286781,-80.800843,
1468161.855231,538168.594606012,5450,1033937,2020,7,July,22,4,Wednesday,543,20200722054300,23,"Left turn, same roadway",2,1,Disregarded yield sign,,,35.215618,-80.780754,
1447734.93710601,555479.42460601,5451,1074566,2021,1,January,29,6,Friday,1542,20210129154200,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.262148,-80.850214,
1467669.868981,553615.564606011,5452,1123467,2021,10,October,26,3,Tuesday,1914,20211026191405,28,"Sideswipe, same direction",2,35,"Driver distracted by electronic communication device (cell phone, texting, etc.",,,35.25803,-80.78333,
1485047.930231,533335.767106012,5453,945539,2019,4,April,26,6,Friday,604,20190426060400,27,Head on,2,34,Unknown,,,35.20316,-80.723945,
1468311.33023101,478093.437106013,5454,1118605,2021,9,September,10,6,Friday,636,20210910063601,14,Pedestrian,1,8,Failure to reduce speed,,,35.050583,-80.776654,
1467686.59523101,477272.897731006,5455,945507,2019,4,April,25,5,Thursday,1602,20190425160200,23,"Left turn, same roadway",2,19,Failed to yield right of way,,,35.048298,-80.778692,
1451854.48835601,538917.73773101,5456,1071950,2021,1,January,19,3,Tuesday,1711,20210119171105,21,"Rear end, slow or stop",2,8,Failure to reduce speed,,,35.21686,-80.83539,
1438285.17523101,557285.670231014,5457,1125185,2021,11,November,11,5,Thursday,114,20211111011400,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.266622,-80.88198,
1467780.30398101,553613.58085601,5458,1109955,2021,6,June,7,2,Monday,159,20210607015902,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.25803,-80.78296,
1481207.16023101,547835.333356008,5459,1202113,2023,2,February,15,4,Wednesday,652,20230215065201,2,Ran off road left,2,32,Other*,,,35.24281,-80.73765,
1440506.55210601,539455.532731012,5460,1004775,2019,8,August,11,1,Sunday,1957,20190811195703,1,Ran off road right,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.217755,-80.873412,
1469214.838981,601314.942106009,5461,1118881,2021,9,September,13,2,Monday,128,20210913012800,27,Head on,2,11,Crossed centerline/going wrong way,,,35.389145,-80.781022,
1459838.196481,575043.823981002,5462,1134289,2022,2,February,21,2,Monday,1501,20220221150101,21,"Rear end, slow or stop",2,8,Failure to reduce speed,,,35.316508,-80.81087,
1458013.29710601,491710.698356003,5463,1132251,2022,1,January,30,1,Sunday,1918,20220130191800,30,Angle,1,4,Disregarded traffic signals,,,35.087482,-80.811888,
1425661.04835601,538970.652731001,5464,1010573,2020,3,March,23,2,Monday,1337,20200323133702,30,Angle,2,4,Disregarded traffic signals,,,35.215643,-80.923077,
